id,email_body,expected_result
640,"RFQ #2023-089: Seeking detailed quotation for laboratory equipment for our R&D expansion",yes
641,"Important: Changes to expense reimbursement policy effective next quarter",no
642,"What would be your best price if we increased our order quantity from 200 to 350 units with quarterly delivery schedule?",yes
643,"Reminder: Please complete your annual performance self-assessment by Friday",no
644,"Need comprehensive cost analysis for upgrading our manufacturing line with your automated solution",yes
645,"Building management: Fire alarm testing scheduled for Wednesday morning",no
646,"Requesting detailed pricing options for both the standard and premium maintenance packages we discussed",yes
647,"Company announcement: Organizational restructuring in Sales and Marketing departments",no
648,"Could you provide a breakdown of costs for implementing your solution across our three facilities in Texas?",yes
649,"Upcoming webinar invitation: 'Maximizing Productivity in Remote Work Environments'",no
650,"Need formal quotation with detailed specifications for board approval on capital expenditure project #CE-2023-112",yes
651,"IT Security Alert: Recent increase in phishing attempts targeting our organization",no
652,"Seeking competitive pricing for bulk order of components with phased delivery over next 12 months",yes
653,"Human Resources: Reminder to complete mandatory diversity and inclusion training",no
654,"Request for comprehensive cost estimate including installation, training, and 3-year maintenance for new production line",yes
655,"Facilities update: New visitor check-in procedures effective next Monday",no
656,"Need to understand total cost of ownership for your enterprise solution vs. current system for financial justification",yes
657,"Reminder: Quarterly town hall meeting this Friday at 2pm in the main auditorium",no
658,"Requesting detailed quotation for custom manufacturing run of specialized components per attached specifications",yes
659,"Company announcement: Annual employee satisfaction survey now available - please participate",no
660,"What would the pricing structure look like if we committed to a 3-year contract with minimum annual purchases?",yes
661,"Important update: Changes to company travel policy and reimbursement procedures",no
662,"Need comprehensive pricing proposal for retrofitting our Dallas facility with your energy-efficient lighting solution",yes
663,"Reminder: End of fiscal year approaching - please submit all outstanding expense reports",no
664,"Seeking detailed cost breakdown for implementing your inventory management system across our distribution centers",yes
665,"IT Department: New mobile device management policy - action required by all employees",no
666,"Request for updated pricing on maintenance contract renewal with expanded coverage options",yes
667,"Company wellness program: Sign up for biometric screening appointments next week",no
668,"Need formal quotation for client project - custom fabrication with expedited delivery timeline",yes
669,"Facilities management: Updates to conference room reservation system and policies",no
670,"Could you provide comprehensive pricing for both purchase and lease options for the equipment we discussed?",yes
671,"HR announcement: Changes to retirement plan investment options - informational sessions available",no
672,"Requesting detailed cost analysis for upgrading our entire fleet to your new model with maintenance package",yes
673,"Safety committee update: Results from recent workplace safety audit and action items",no
674,"Need formal quotation with detailed specifications for upcoming government contract bid (Reference: GOV-BID-2023-78)",yes
675,"IT update: New password requirements and multi-factor authentication rollout schedule",no
676,"Seeking best and final pricing offer for large-scale deployment across all our North American locations",yes
677,"Company announcement: Annual charitable giving campaign kicks off next week",no
678,"Request for comprehensive pricing proposal including implementation timeline and resource requirements",yes
679,"Facilities update: Renovation schedule for east wing offices - temporary relocations required",no
680,"Need detailed cost breakdown for manufacturing 10,000 units with custom branding as discussed with your sales team",yes
681,"HR reminder: Open enrollment period for benefits begins next Monday - important changes this year",no
682,"Requesting formal quotation for specialized equipment with installation and operator training included",yes
683,"Company update: Quarterly financial results and business outlook presentation",no
684,"Could you provide a comprehensive cost analysis for transitioning from our current vendor to your solution?",yes
685,"IT security reminder: Importance of securing sensitive customer information and company data",no
686,"Need detailed pricing options for different service level agreements for the enterprise software package",yes
687,"Facilities announcement: New recycling program implementation and guidelines",no
688,"Requesting formal quotation for annual supply contract with monthly delivery schedule and volume pricing tiers",yes
689,"HR update: Changes to employee recognition program and nomination process",no
690,"Need comprehensive cost projection for scaling your solution as our business grows over next 36 months",yes
691,"Company announcement: Updates to corporate social responsibility initiatives and sustainability goals",no
692,"Seeking detailed pricing proposal with ROI analysis for automation project at our Cincinnati facility",yes
693,"IT department: Upcoming software upgrades and potential impact on business operations",no
694,"Request for detailed quotation including customization options and implementation services for CRM solution",yes
695,"Safety reminder: Proper procedures for handling hazardous materials in the workplace",no
696,"Need comprehensive pricing structure for tiered support services with response time guarantees",yes
697,"Company update: Strategic partnership announcement and implications for our business",no
698,"Requesting formal quotation for custom development project with milestone-based payment schedule",yes
699,"Facilities management: Updates to building access procedures after hours and weekends",no
700,"Could you provide detailed pricing for both on-premise and cloud-based deployment options for your solution?",yes
701,"HR announcement: Employee assistance program enhancements and confidential resources available",no
702,"Need comprehensive cost analysis comparing preventive maintenance contract vs. time and materials approach",yes
703,"Company newsletter: Spotlight on innovation and recent patent achievements",no
704,"Requesting detailed quotation for equipment upgrade with trade-in value for existing machinery",yes
705,"IT security: Mandatory password reset required due to potential security incident",no
706,"Seeking best pricing for enterprise-wide license agreement with unlimited user access",yes
707,"Facilities update: Changes to heating and cooling schedules to improve energy efficiency",no
708,"Need formal quotation with detailed specifications for inclusion in our capital expenditure proposal",yes
709,"HR reminder: Performance review discussions scheduled for next month - preparation materials attached",no
710,"Request for comprehensive pricing proposal including training, implementation, and knowledge transfer",yes
711,"Company announcement: Executive leadership changes effective next quarter",no
712,"Could you provide detailed cost breakdown for the custom integration work we discussed last week?",yes
713,"Safety committee: Upcoming emergency response drill schedule and participation requirements",no
714,"Need formal quotation for specialized consulting services for our digital transformation initiative",yes
715,"IT department: New mobile application available for accessing company resources remotely",no
716,"Requesting detailed pricing options for different configuration scenarios of your manufacturing solution",yes
717,"Company update: Annual customer satisfaction survey results and action plan",no
718,"Need comprehensive cost analysis for upgrading vs. replacing aging equipment in our production facility",yes
719,"Facilities announcement: New food service vendor in company cafeteria starting next month",no
720,"Seeking detailed quotation for custom software development project with phased implementation approach",yes
721,"HR update: Changes to professional development funding and approval process",no
722,"Request for formal pricing proposal for nationwide rollout of your retail display solution",yes
723,"Company announcement: Upcoming media coverage and communication guidelines",no
724,"Need detailed cost breakdown for implementing your quality management system across our manufacturing plants",yes
725,"IT security reminder: Guidelines for secure remote work and VPN usage",no
726,"Requesting comprehensive pricing for both purchase and ongoing maintenance of laboratory equipment",yes
727,"Facilities update: Improvements to campus outdoor spaces and recreational areas",no
728,"Could you provide a detailed quotation for the turnkey solution we discussed at the industry conference?",yes
729,"HR announcement: Updates to parental leave policy and family support resources",no
730,"Need formal pricing proposal with volume discount tiers for our anticipated annual consumption",yes
731,"Company update: Recent industry awards and recognition for our products and services",no
732,"Requesting detailed cost analysis for implementing your environmental monitoring system at our facilities",yes
733,"Safety reminder: Proper ergonomic setup for workstations to prevent injuries",no
734,"Need comprehensive quotation for equipment, installation, training, and extended warranty options",yes
735,"IT department: New collaboration tools being deployed to improve remote team productivity",no
736,"Seeking detailed pricing for custom manufacturing with specialized materials and finishing requirements",yes
737,"Company announcement: Upcoming community volunteer opportunities and team participation",no
738,"Request for formal quotation with detailed specifications for inclusion in government contract proposal",yes
739,"Facilities update: Changes to shipping and receiving procedures and hours of operation",no
740,"Need comprehensive cost breakdown for implementing your solution across our European operations",yes
741,"HR reminder: Deadline approaching for submitting tuition reimbursement requests for current semester",no
742,"Could you provide detailed pricing options for different service and support levels for your product?",yes
743,"Company newsletter: Employee spotlights and recent team achievements",no
744,"Requesting formal quotation for annual maintenance contract with guaranteed response times",yes
745,"IT security: Important information about recent software vulnerabilities and required patches",no
746,"Need detailed pricing proposal for custom configuration of your system for our unique requirements",yes
747,"Facilities announcement: New electric vehicle charging stations available in company parking garage",no
748,"Seeking comprehensive cost analysis for transitioning to your managed services solution",yes
749,"HR update: Changes to employee referral program and increased bonuses",no
750,"Request for detailed quotation including implementation timeline and resource requirements for ERP project",yes
751,"Company announcement: Upcoming trade show participation and customer engagement opportunities",no
752,"Need formal pricing for both standard and expedited delivery options for our quarterly supply order",yes
753,"Safety committee: Results of recent workplace safety survey and improvement initiatives",no
754,"Requesting comprehensive quotation for custom development project with detailed milestone schedule",yes
755,"IT department: New data classification guidelines and handling procedures for sensitive information",no
756,"Could you provide detailed pricing for scaling your solution as we expand to new markets?",yes
757,"Facilities update: Renovation schedule for main lobby and reception area - temporary arrangements",no
758,"Need formal quotation with detailed specifications for specialized equipment for our research laboratory",yes
759,"HR announcement: Enhanced employee discount program with new participating vendors",no
760,"Requesting comprehensive pricing proposal with ROI analysis for warehouse automation project",yes
761,"Company update: Quarterly business review and strategic priorities for coming fiscal year",no
762,"Need detailed cost breakdown for implementing your compliance management solution enterprise-wide",yes
763,"IT security reminder: Best practices for creating strong passwords and securing accounts",no
764,"Seeking formal quotation for custom manufacturing with quality assurance and testing protocols",yes
765,"Facilities announcement: Updates to conference room technology and usage guidelines",no
766,"Request for comprehensive pricing including training, implementation, and ongoing support services",yes
767,"HR update: New professional development opportunities and internal training resources",no
768,"Need detailed quotation for equipment lease options with maintenance and upgrade provisions",yes
769,"Company announcement: Recent media coverage and public relations opportunities",no
770,"Could you provide a comprehensive cost analysis for your preventive maintenance program?",yes
771,"Safety reminder: Procedures for reporting workplace hazards and safety concerns",no
772,"Requesting formal pricing proposal for nationwide service coverage with guaranteed response times",yes
773,"IT department: Upcoming changes to file sharing and collaboration platform",no
774,"Need detailed quotation for custom solution based on specifications discussed during site visit",yes
775,"Facilities update: Changes to visitor management system and security procedures",no
776,"Seeking comprehensive pricing for enterprise software licenses with implementation services",yes
777,"HR announcement: Updates to remote work policy and equipment stipend program",no
778,"Request for detailed cost breakdown for phased implementation of your solution across our business units",yes
779,"Company newsletter: Upcoming events and important dates for your calendar",no
780,"Need formal quotation with detailed specifications for specialized manufacturing equipment",yes
781,"IT security: Mandatory security awareness training schedule and completion requirements",no
782,"Requesting comprehensive pricing proposal for upgrading our entire fleet to your latest model",yes
783,"Facilities announcement: New amenities available in employee break areas",no
784,"Could you provide detailed pricing options for different levels of technical support coverage?",yes
785,"HR update: Changes to performance evaluation criteria and process for coming year",no
786,"Need formal quotation for custom development of integration between your system and our existing platform",yes
787,"Company announcement: Strategic acquisition completed and integration plans",no
788,"Requesting detailed cost analysis for implementing your quality control system in our manufacturing process",yes
789,"Safety committee: Updated emergency evacuation procedures and assembly point locations",no
790,"Need comprehensive pricing for both on-premise and cloud deployment options with migration services",yes
791,"IT department: New mobile device policy and security requirements for company data access",no
792,"Seeking detailed quotation for annual maintenance contract with preventive service schedule",yes
793,"Facilities update: Improvements to building HVAC system and expected energy savings",no
794,"Request for formal pricing proposal with volume discounts for anticipated three-year consumption",yes
795,"HR announcement: Enhanced wellness program benefits and participation incentives",no
796,"Need detailed cost breakdown for implementing your solution with customizations for our industry",yes
797,"Company update: Annual planning process kickoff and departmental budget submissions",no
798,"Requesting comprehensive quotation for equipment, installation, training, and extended warranty",yes
799,"IT security reminder: Recognizing and reporting suspicious emails and phishing attempts",no
800,"Could you provide detailed pricing for scaling your solution as our user base grows?",yes
801,"Facilities announcement: New sustainable practices implementation and waste reduction goals",no
802,"Need formal quotation with detailed specifications for inclusion in our budget planning process",yes
803,"HR update: Changes to employee recognition program and nomination criteria",no
804,"Requesting comprehensive pricing proposal including implementation services and knowledge transfer",yes
805,"Company announcement: Upcoming customer appreciation events and participation opportunities",no
806,"Need detailed cost analysis comparing your solution to our current process with ROI projections",yes
807,"Safety reminder: Proper handling procedures for sensitive materials and equipment",no
808,"Seeking formal quotation for custom manufacturing with quality assurance and certification requirements",yes
809,"IT department: New software deployment schedule and training resources available",no
810,"Request for detailed pricing options for different service level agreements and response times",yes
811,"Facilities update: Changes to office layout and workspace allocation process",no
812,"Need comprehensive quotation for nationwide implementation of your retail solution across our locations",yes
813,"HR announcement: Updates to continuing education benefits and approval process",no
814,"Could you provide a detailed cost breakdown for the enterprise-wide deployment we discussed?",yes
815,"Company newsletter: Recent achievements and recognition in our industry",no
816,"Requesting formal pricing proposal with detailed implementation timeline and resource requirements",yes
817,"IT security: Important updates to data protection policies and procedures",no
818,"Need detailed quotation for custom solution addressing the specific challenges we discussed last week",yes
819,"Facilities announcement: New security measures being implemented at all building entrances",no
820,"Seeking comprehensive pricing for both equipment purchase and ongoing maintenance services",yes
821,"HR update: Changes to employee assistance program and available resources",no
822,"Request for detailed cost analysis for upgrading our existing systems to your latest technology",yes
823,"Company announcement: Quarterly business performance and market outlook",no
824,"Need formal quotation with detailed specifications for specialized equipment for our production facility",yes
825,"Safety committee: Results of recent safety audit and required corrective actions",no
826,"Request for comprehensive pricing: Warehouse management system implementation with phased rollout approach",yes
827,"Executive team announcement: Quarterly business review meeting rescheduled to October 15th",no
828,"Need detailed cost proposal for retrofitting our manufacturing line with your automated quality control system",yes
829,"HR Policy Update: Important changes to employee travel and expense reimbursement procedures",no
830,"Seeking formal quotation for custom fabrication project (Client: Westlake Industries - Project #WL-2023-475)",yes
831,"IT Security Alert: Critical software vulnerability requires immediate patching of all systems",no
832,"Could you provide a detailed breakdown of costs for implementing your solution at our three regional distribution centers?",yes
833,"Facilities Management: Updated cleaning protocols and sanitation standards for all office locations",no
834,"RFQ #23-789: Formal request for quotation for annual supply contract with quarterly delivery schedule",yes
835,"Company Announcement: Annual employee appreciation event details and registration information",no
836,"Need comprehensive pricing proposal for upgrading our entire fleet to meet new emissions standards",yes
837,"Reminder: Mandatory compliance training must be completed by all employees before month-end",no
838,"Requesting detailed quotation for custom manufacturing run with specialized materials and testing requirements",yes
839,"Health & Safety: Updated workplace protocols and personal protective equipment requirements",no
840,"What would the investment look like for implementing your enterprise solution across our global operations?",yes
841,"Marketing Department: Brand guidelines update and new digital asset management system access",no
842,"Need formal quotation with detailed specifications for capital expenditure approval (Project ID: CAP-2023-112)",yes
843,"Company Newsletter: Employee spotlights and upcoming community engagement opportunities",no
844,"Requesting comprehensive cost analysis comparing cloud-based vs. on-premises deployment options",yes
845,"Facilities Update: Parking garage maintenance schedule and temporary alternative arrangements",no
846,"Could you provide detailed pricing for both standard and premium support options for your software solution?",yes
847,"HR Announcement: Changes to performance review process and updated evaluation criteria",no
848,"Need detailed quotation for custom integration between your platform and our existing ERP system",yes
849,"IT Department: Scheduled system maintenance and potential service interruptions this weekend",no
850,"Seeking formal pricing proposal for nationwide service contract with guaranteed response times",yes
851,"Legal Department: Updated confidentiality agreements require signature from all employees",no
852,"Request for detailed cost breakdown for implementing your inventory management solution at our Dallas facility",yes
853,"Company Announcement: Recent industry recognition and award for product excellence",no
854,"Need comprehensive quotation including equipment, installation, training, and extended warranty options",yes
855,"Safety Committee: Upcoming emergency response drill schedule and participation requirements",no
856,"Requesting detailed pricing options for different tiers of your managed services offering",yes
857,"Facilities Management: New visitor check-in procedures effective next Monday at all locations",no
858,"Could you provide a formal quotation for the custom configuration we discussed during the site visit?",yes
859,"HR Reminder: Open enrollment period for benefits begins next week - important changes this year",no
860,"Need detailed cost analysis for upgrading our quality control process with your automated solution",yes
861,"Executive Communication: Strategic priorities for upcoming fiscal year and organizational focus",no
862,"Requesting comprehensive pricing proposal with ROI analysis for warehouse automation project",yes
863,"IT Security: New guidelines for secure remote access and protection of company information",no
864,"Formal RFQ: Detailed quotation needed for specialized equipment for our research laboratory",yes
865,"Company Update: Quarterly business performance and market outlook presentation",no
866,"Need detailed pricing structure for enterprise-wide software deployment with user-based licensing",yes
867,"Facilities Announcement: Renovation schedule for main conference center - alternative meeting spaces",no
868,"Seeking comprehensive cost breakdown for implementing your solution across our manufacturing plants",yes
869,"HR Update: Enhanced professional development program and educational reimbursement options",no
870,"Request for formal quotation with detailed specifications for inclusion in government contract bid",yes
871,"Safety Reminder: Proper procedures for handling and disposing of hazardous materials",no
872,"Could you provide detailed pricing options for both purchase and leasing of the equipment we discussed?",yes
873,"Company Announcement: Upcoming trade show participation and customer engagement strategy",no
874,"Need comprehensive cost analysis for transitioning from current vendor to your maintenance program",yes
875,"IT Department: New collaboration tools being deployed to improve team productivity",no
876,"Requesting detailed quotation for custom development project with milestone-based delivery schedule",yes
877,"Facilities Update: Changes to building access procedures and security badge requirements",no
878,"Formal request for pricing proposal: Enterprise resource planning system implementation",yes
879,"HR Announcement: Updates to parental leave policy and family support resources",no
880,"Need detailed cost breakdown for implementing your compliance management solution enterprise-wide",yes
881,"Company Newsletter: Recent achievements and upcoming organizational changes",no
882,"Seeking comprehensive quotation for equipment upgrade with trade-in consideration for existing machinery",yes
883,"Safety Committee: Results of recent workplace safety audit and required corrective actions",no
884,"Request for detailed pricing for scaling your solution as our business expands to new markets",yes
885,"IT Security Reminder: Best practices for creating strong passwords and securing accounts",no
886,"Could you provide a formal quotation for annual maintenance contract with preventive service schedule?",yes
887,"Executive Announcement: Organizational restructuring effective next quarter",no
888,"Need comprehensive pricing proposal including implementation timeline and resource requirements",yes
889,"Facilities Management: Updates to conference room technology and reservation system",no
890,"Requesting detailed cost analysis for implementing your quality management system across our operations",yes
891,"HR Update: Changes to remote work policy and equipment stipend program",no
892,"Formal RFQ: Detailed quotation needed for specialized manufacturing equipment with custom specifications",yes
893,"Company Announcement: Annual charitable giving campaign kickoff and matching program details",no
894,"Need detailed pricing options for different service level agreements for the enterprise software package",yes
895,"Safety Reminder: Ergonomic workstation setup guidelines to prevent injuries",no
896,"Seeking comprehensive cost projection for scaling your solution as our user base grows over next 36 months",yes
897,"IT Department: Important updates to data protection policies and compliance requirements",no
898,"Request for formal quotation with detailed specifications for inclusion in our capital expenditure proposal",yes
899,"Facilities Announcement: New sustainable practices implementation and waste reduction goals",no
900,"Could you provide detailed pricing for both on-premise and cloud-based deployment options?",yes
901,"HR Reminder: Performance review discussions scheduled for next month - preparation materials attached",no
902,"Need comprehensive cost analysis comparing preventive maintenance contract vs. time and materials approach",yes
903,"Company Update: Strategic partnership announcement and implications for our business",no
904,"Requesting detailed quotation for custom solution addressing the specific challenges we discussed last week",yes
905,"IT Security Alert: Recent increase in phishing attempts targeting our organization",no
906,"Formal request for pricing: Nationwide rollout of your retail display solution across our 200+ locations",yes
907,"Executive Communication: Annual planning process kickoff and departmental budget submissions",no
908,"Need detailed cost breakdown for implementing your environmental monitoring system at our facilities",yes
909,"Facilities Update: Improvements to campus outdoor spaces and recreational areas",no
910,"Seeking comprehensive quotation for custom software development project with phased implementation approach",yes
911,"HR Announcement: Enhanced employee wellness program and participation incentives",no
912,"Request for detailed pricing options for different configuration scenarios of your manufacturing solution",yes
913,"Safety Committee: Updated emergency evacuation procedures and assembly point locations",no
914,"Could you provide a formal quotation for the turnkey solution we discussed at the industry conference?",yes
915,"Company Newsletter: Spotlight on innovation and recent patent achievements",no
916,"Need comprehensive pricing for both equipment purchase and ongoing maintenance services",yes
917,"IT Department: New mobile device policy and security requirements for company data access",no
918,"Requesting detailed cost analysis for upgrading vs. replacing aging equipment in our production facility",yes
919,"Facilities Announcement: New food service vendor in company cafeteria starting next month",no
920,"Formal RFQ: Detailed quotation needed for specialized consulting services for our digital transformation initiative",yes
921,"HR Update: Changes to employee recognition program and nomination criteria",no
922,"Need detailed pricing proposal with volume discount tiers for our anticipated annual consumption",yes
923,"Company Announcement: Upcoming customer appreciation events and participation opportunities",no
924,"Seeking comprehensive cost analysis for implementing your solution with customizations for our industry",yes
925,"Safety Reminder: Procedures for reporting workplace hazards and safety concerns",no
926,"Request for detailed quotation including implementation services and knowledge transfer for new system",yes
927,"IT Security: Mandatory security awareness training schedule and completion requirements",no
928,"Could you provide a comprehensive pricing proposal for upgrading our entire fleet to your latest model?",yes
929,"Executive Announcement: Strategic acquisition completed and integration plans",no
930,"Need formal quotation for custom development of integration between your system and our existing platform",yes
931,"Facilities Update: Changes to shipping and receiving procedures and hours of operation",no
932,"Requesting detailed cost breakdown for phased implementation of your solution across our business units",yes
933,"HR Announcement: Updates to continuing education benefits and approval process",no
934,"Formal request for pricing: Enterprise-wide license agreement with unlimited user access",yes
935,"Company Update: Recent media coverage and public relations opportunities",no
936,"Need comprehensive quotation for equipment, installation, training, and extended warranty",yes
937,"Safety Committee: New safety protocols for handling specialized equipment in production areas",no
938,"Seeking detailed pricing for custom manufacturing with quality assurance and certification requirements",yes
939,"IT Department: Upcoming changes to file sharing and collaboration platform",no
940,"Request for formal pricing proposal with detailed implementation timeline and resource requirements",yes
941,"Facilities Announcement: New security measures being implemented at all building entrances",no
942,"Could you provide detailed cost analysis for your preventive maintenance program across our facilities?",yes
943,"HR Update: Changes to employee assistance program and available resources",no
944,"Need formal quotation with detailed specifications for specialized equipment for our research laboratory",yes
945,"Company Announcement: Quarterly business performance and market outlook",no
946,"Requesting comprehensive pricing proposal for upgrading our quality control systems to meet new regulations",yes
947,"IT Security: Important updates to data protection policies and procedures",no
948,"Formal RFQ: Detailed quotation needed for custom solution based on specifications discussed during site visit",yes
949,"Executive Communication: Strategic priorities and organizational goals for coming fiscal year",no
950,"Need detailed pricing options for different levels of technical support coverage for your software",yes
951,"Facilities Update: Renovation schedule for main lobby and reception area - temporary arrangements",no
952,"Seeking comprehensive cost breakdown for implementing your solution across our European operations",yes
953,"HR Announcement: Enhanced employee discount program with new participating vendors",no
954,"Request for detailed quotation for annual maintenance contract with guaranteed response times",yes
955,"Safety Reminder: Proper handling procedures for sensitive materials and equipment",no
956,"Could you provide formal pricing for both standard and expedited delivery options for our quarterly supply order?",yes
957,"Company Newsletter: Employee spotlights and recent team achievements",no
958,"Need comprehensive pricing proposal with ROI analysis for automation project at our Cincinnati facility",yes
959,"IT Department: New data classification guidelines and handling procedures for sensitive information",no
960,"Requesting detailed quotation for custom manufacturing with specialized materials and finishing requirements",yes
961,"Facilities Announcement: New electric vehicle charging stations available in company parking garage",no
962,"Formal request for pricing: Comprehensive cost analysis for transitioning to your managed services solution",yes
963,"HR Update: Changes to performance evaluation criteria and process for coming year",no
964,"Need detailed cost breakdown for implementing your compliance management solution enterprise-wide",yes
965,"Executive Announcement: Upcoming media coverage and communication guidelines",no
966,"Seeking formal quotation for nationwide service coverage with guaranteed response times",yes
967,"Safety Committee: Results of recent safety audit and required corrective actions",no
968,"Request for comprehensive pricing including training, implementation, and ongoing support services",yes
969,"IT Security Reminder: Recognizing and reporting suspicious emails and phishing attempts",no
970,"Could you provide detailed pricing for scaling your solution as we expand to new markets?",yes
971,"Facilities Update: Changes to office layout and workspace allocation process",no
972,"Need formal quotation with detailed specifications for inclusion in our budget planning process",yes
973,"HR Announcement: New professional development opportunities and internal training resources",no
974,"Requesting comprehensive pricing proposal for nationwide implementation of your retail solution",yes
975,"Company Update: Annual planning process and departmental budget submissions",no
976,"Formal RFQ: Detailed cost analysis comparing your solution to our current process with ROI projections",yes
977,"Safety Reminder: Updated guidelines for workplace accident reporting and investigation",no
978,"Need comprehensive quotation for enterprise software licenses with implementation services",yes
979,"IT Department: New software deployment schedule and training resources available",no
980,"Seeking detailed pricing options for different service level agreements and response times",yes
981,"Executive Communication: Company performance review and strategic direction update",no
982,"Request for formal quotation for custom solution addressing the specific challenges we discussed last month",yes
983,"Facilities Announcement: Improvements to building HVAC system and expected energy savings",no
984,"Could you provide a detailed cost breakdown for the enterprise-wide deployment we discussed at the conference?",yes
985,"HR Update: Changes to employee referral program and increased bonuses",no
986,"Need comprehensive pricing for both on-premise and cloud deployment options with migration services",yes
987,"Company Announcement: Upcoming community volunteer opportunities and team participation",no
988,"Requesting detailed quotation for equipment lease options with maintenance and upgrade provisions",yes
989,"Safety Committee: Upcoming safety certification training schedule and registration information",no
990,"Formal request for pricing: Custom development project with milestone-based payment schedule",yes
991,"IT Security: Critical system updates required to address recently identified vulnerabilities",no
992,"Need detailed cost analysis for implementing your quality control system in our manufacturing process",yes
993,"Facilities Update: Changes to visitor management system and security procedures",no
994,"Seeking comprehensive pricing proposal with volume discounts for anticipated three-year consumption",yes
995,"Executive Announcement: Leadership changes effective next quarter",no
996,"Request for detailed quotation including customization options and implementation services for CRM solution",yes
997,"HR Reminder: Deadline approaching for submitting tuition reimbursement requests for current semester",no
998,"Could you provide comprehensive pricing for your preventive maintenance program with guaranteed uptime?",yes
999,"Company Newsletter: Upcoming events and important dates for your calendar",no
1000,"Need formal quotation with detailed specifications for specialized manufacturing equipment for expansion project",yes
1001,"Safety Announcement: New safety equipment distribution and training requirements",no
1002,"Requesting detailed cost breakdown for implementing your solution with customizations for our industry",yes
1003,"IT Department: Updates to acceptable use policy for company technology resources",no
1004,"Formal RFQ: Comprehensive quotation for equipment, installation, training, and extended warranty",yes
1005,"Facilities Management: New sustainable practices implementation and waste reduction goals",no
1006,"Need detailed pricing for scaling your solution as our user base grows over the next 24 months",yes
1007,"HR Announcement: Updates to employee health and wellness program offerings",no
1008,"Seeking formal quotation with detailed specifications for inclusion in our capital expenditure proposal",yes
1009,"Executive Communication: Quarterly business review and strategic priorities discussion",no
1010,"Request for comprehensive pricing proposal including implementation services and knowledge transfer",yes
1011,"Safety Reminder: Proper procedures for handling hazardous materials in the workplace",no
1012,"Could you provide detailed cost analysis comparing your solution to alternatives we're considering?",yes
1013,"Company Announcement: Recent industry awards and recognition for our products",no
1014,"Need formal quotation for custom manufacturing with quality assurance and testing protocols",yes
1015,"IT Security: New guidelines for secure remote work and protection of company information",no
1016,"Requesting detailed pricing options for different configuration scenarios based on our discussion",yes
1017,"Facilities Update: Renovation schedule for employee break areas and recreational spaces",no
1018,"Formal request for pricing: Nationwide implementation of your solution across our regional offices",yes
1019,"HR Update: Changes to professional development funding and approval process",no
1020,"Need comprehensive quotation for upgrading our existing systems to your latest technology",yes
1021,"Executive Announcement: Strategic partnership formation and business implications",no
1022,"Seeking detailed cost breakdown for phased implementation across our manufacturing facilities",yes
1023,"Safety Committee: Updated emergency response procedures and team assignments",no
1024,"Request for formal pricing proposal with detailed implementation timeline and resource requirements",yes
1025,"IT Department: New collaboration tools being deployed to improve team productivity",no
1026,"Request for detailed pricing: Manufacturing equipment upgrade with installation and operator training",yes
1027,"Executive Team Update: Q4 strategic initiatives and departmental alignment expectations",no
1028,"Need comprehensive quotation for enterprise-wide software deployment with phased implementation plan",yes
1029,"HR Advisory: Important changes to employee health benefits effective January 1st",no
1030,"Seeking formal cost proposal for retrofitting our Chicago facility with your energy-efficient solution",yes
1031,"IT Security Alert: Mandatory password reset required for all network users by Friday",no
1032,"Could you provide detailed pricing for both standard and premium support tiers for your platform?",yes
1033,"Facilities Management: Updated cleaning protocols and sanitation standards for all locations",no
1034,"RFQ #2023-456: Formal request for quotation for specialized laboratory equipment per attached specs",yes
1035,"Company Announcement: Annual employee recognition awards ceremony next month",no
1036,"Need comprehensive cost analysis for upgrading our fleet to meet new regulatory requirements",yes
1037,"Legal Department: Updated terms of service for vendor relationships require acknowledgment",no
1038,"Requesting detailed quotation for custom manufacturing run with expedited delivery timeline",yes
1039,"Safety Committee: Quarterly workplace safety assessment findings and recommendations",no
1040,"What would the investment look like for implementing your solution across our distribution network?",yes
1041,"Marketing Department: Updated brand guidelines and digital asset management system",no
1042,"Need formal quotation with detailed specifications for capital expenditure approval (Project: EXP-2023-089)",yes
1043,"Company Newsletter: Employee spotlights and upcoming community engagement opportunities",no
1044,"Requesting comprehensive cost breakdown comparing cloud-based vs. on-premises deployment options",yes
1045,"Facilities Update: Parking garage maintenance schedule and temporary alternative arrangements",no
1046,"Could you provide detailed pricing for your managed services offering with various SLA options?",yes
1047,"HR Announcement: Changes to performance review process and updated evaluation criteria",no
1048,"Need detailed quotation for custom integration between your platform and our existing systems",yes
1049,"IT Department: Scheduled system maintenance and potential service interruptions this weekend",no
1050,"Seeking formal pricing proposal for nationwide service contract with guaranteed response times",yes
1051,"Legal Department: Updated confidentiality agreements require signature from all employees",no
1052,"Request for detailed cost breakdown for implementing your inventory management solution at our facilities",yes
1053,"Company Announcement: Recent industry recognition and award for product excellence",no
1054,"Need comprehensive quotation including equipment, installation, training, and extended warranty options",yes
1055,"Safety Committee: Upcoming emergency response drill schedule and participation requirements",no
1056,"Requesting detailed pricing options for different tiers of your professional services offering",yes
1057,"Facilities Management: New visitor check-in procedures effective next Monday at all locations",no
1058,"Could you provide a formal quotation for the custom configuration we discussed during the site visit?",yes
1059,"HR Reminder: Open enrollment period for benefits begins next week - important changes this year",no
1060,"Need detailed cost analysis for upgrading our quality control process with your automated solution",yes
